Categoria|Distância (m)|RSSI (dBm) media|RSSI (dBm) minimo|RSSI (dBm) maximo
nao realistico|312.0|-87.4803335143|-87.4803335143|-87.4803335143
nao realistico|313.0|-87.5325871005|-87.5325871005|-87.5325871005
nao realistico|314.0|-87.5846740131|-87.5846740131|-87.5846740131
nao realistico|315.0|-87.6365953121|-87.6365953121|-87.6365953121
nao realistico|316.0|-87.6883520474|-87.6883520474|-87.6883520474
nao realistico|317.0|-87.7399452586|-87.7399452586|-87.7399452586
nao realistico|318.0|-87.791375976|-87.791375976|-87.791375976
nao realistico|319.0|-87.8426452197|-87.8426452197|-87.8426452197
nao realistico|320.0|-87.8937540006|-87.8937540006|-87.8937540006
nao realistico|321.0|-87.94470332|-87.94470332|-87.94470332
nao realistico|322.0|-87.9954941697|-87.9954941697|-87.9954941697
nao realistico|323.0|-88.0461275326|-88.0461275326|-88.0461275326
nao realistico|324.0|-88.0966043821|-88.0966043821|-88.0966043821
nao realistico|325.0|-88.146925683|-88.146925683|-88.146925683
nao realistico|326.0|-88.1970923909|-88.1970923909|-88.1970923909
nao realistico|327.0|-88.2471054528|-88.2471054528|-88.2471054528
nao realistico|328.0|-88.2969658069|-88.2969658069|-88.2969658069
nao realistico|329.0|-88.346674383|-88.346674383|-88.346674383
nao realistico|330.0|-88.3962321021|-88.3962321021|-88.3962321021
nao realistico|331.0|-88.4456398774|-88.4456398774|-88.4456398774
nao realistico|332.0|-88.4948986132|-88.4948986132|-88.4948986132
nao realistico|333.0|-88.5440092061|-88.5440092061|-88.5440092061
nao realistico|334.0|-88.5929725444|-88.5929725444|-88.5929725444
nao realistico|335.0|-88.6417895086|-88.6417895086|-88.6417895086
nao realistico|336.0|-88.6904609712|-88.6904609712|-88.6904609712
nao realistico|337.0|-88.738987797|-88.738987797|-88.738987797
nao realistico|338.0|-88.787370843|-88.787370843|-88.787370843
nao realistico|339.0|-88.8356109588|-88.8356109588|-88.8356109588
